longitude,latitude,value
-96.70619916,40.819533615204,3123
-96.7024331910354,40.82059491045331,2847
-96.69959224,40.8255795,2253
-96.693850231552,40.81827917981469,2231
-96.7061139562431,40.82255905547388,2074
-96.69816241507004,40.82277648634845,1749
-96.66757929,40.8303798026447,1587
-96.69754635641945,40.8242044520825,1460
-96.69478796,40.8221390294964,1362
-96.69326495,40.8190587226615,1188
-96.70753910260574,40.82117079082787,1161
-96.69808765014886,40.82289251304433,1095
96.70187603,40.81691856,905
-96.69849371713582,40.82061220540366,852
-96.69969868,40.8175515323997,783
-96.69653542,40.8200594668969,763
-96.703572,40.820586,748
-96.660509,40.829788,710
-96.69449341088546,40.82175589019328,701
-96.69435393,40.8180589571085,662
-96.69819873,40.8201332557874,505
-96.69509819,40.8174314115949,502
-96.70136352,40.8213294730821,483
-96.70006339477183,40.81618715224017,482
-96.695279,40.822186,982
-96.67165275,40.8290319610487,458
-96.69906587099918,40.81543560789692,421
-96.69927862755405,40.829977175468905,421
-96.66732344603783,40.8298588534986,397
-96.66711562992002,40.8323590146177,359
-96.70103789,40.8238255678125,354
-96.69810584619836,40.828695594695695,324
-96.6648236268441,40.82923579244414,309
-96.70209325997101,40.82440557085135,304
-96.66611630596944,40.82954739628441,298
-96.66226582,40.8305371662603,280
-96.70237138761823,40.8198947117561,273
-96.67029754689214,40.83085795724804,215
-96.69753127729967,40.81779367949434,215
-96.70699096120126,40.8200948329465,202
-96.69902364559961,40.821392215076905,201
-96.6664688846556,40.8310058414219,197
-96.70039976,40.8251810062319,195
-96.70620883236558,40.82445638912447,184
-96.69325268665891,40.81880792468889,177
-96.70203213618962,40.82439565587964,175
-96.66227184431618,40.82944268565643,171
-96.69594705935341,40.81648044669988,159
-96.69473725513511,40.81662999142692,144
-96.6981950151755,40.8309838006605,129
-96.69756927757894,40.82416030379416,122
-96.66775781773325,40.83230747903503,117
-96.69696117,40.8207268190163,117
-96.66624334689746,40.831350310492994,113
-96.70623247535652,40.81604911729375,100
-96.69988555,40.8200352566431,97
-96.65889096256471,40.832334352907196,91
-96.70802092940265,40.81971322867411,79
-96.70739865694765,40.81855216387605,74
-96.6607924659315,40.83207147471128,71
-96.68889514087286,40.82305729023147,69
-96.66100403586302,40.82920712634547,68
-96.66585154780279,40.831943171046184,64
-96.70046267,40.8197601988375,61
-96.66100403586302,40.82920712634547,57
-96.68932828989043,40.82119974383748,56
-96.66972494127494,40.83028522843035,54
-96.70405630778411,40.81788455165401,52
-96.69926351,40.8202030999086,52
-96.6642255987423,40.83419123864716,50
-96.7072291,40.8203310710519,50
-96.66407370821125,40.82935124715,49
-96.65967238449223,40.82863756223524,47
-96.70189499726472,40.81768536778058,46
-96.69485398794042,40.8192514413675,46
-96.659690,40.831369,44
-96.66126152791335,40.82835472026275,40
-96.70077154585938,40.82207354218598,38
-96.69766059952795,40.82906902917048,36
-96.6962873862756,40.82129113845539,35
-96.6695854457748,40.831842980537694,34
-96.67061174770713,40.82897437972128,32
-96.6640406480005,40.83470159421384,29
-96.69331875920193,40.82414210144572,24
-96.66516874585918,40.82768175563809,23
-96.67343381695865,40.82875374378117,21
-96.66731712672943,40.82991710487709,17
-96.68977490537821,40.823170954088006,17
-96.66014010271498,40.8325321140383,16
-96.70304341,40.8181568295665,15
-96.69307417093391,40.819974279204615,14
-96.70115059,40.8171553888302,12
-96.70193866113608,40.822961292235966,11
-96.69613310271538,40.822667955139906,10
-96.69984685116638,40.8184649362934,10
-96.69694507211612,40.82996636041541,10
-96.66210366363889,40.83369283667493,10
-96.6663346746942,40.834686602726954,10
